"ONE FEDERAL STREET, 25TH FLOOR, BOSTON, MA",aq06,100232092,LAKE CONTRACTING,11/16/2015 0:00:00,2/28/2016 0:00:00,12/19/2016 10:09:11
"500 COMMONWEALTH AVENUE, BOSTON, MA",aq06,100235507R1,J L DUNN,1/21/2016 0:00:00,7/31/2017 0:00:00,12/19/2016 10:09:11
"295 BURNETT ROAD, CHICOPEE, MA",aq06,100248580R1,AMERICAN ENVIRONMENTAL,8/22/2016 0:00:00,5/30/2017 0:00:00,12/19/2016 10:09:11
"80 BROADWAY, EVERETT, MA",aq06,100249698R3,JR VINAGRO,1/9/2017 0:00:00,2/9/2017 0:00:00,12/19/2016 10:09:11
"0 MASSPIKE ROAD, BOSTON, MA",aq06,100251364R3,JR VINAGRO,10/28/2016 0:00:00,1/31/2017 0:00:00,12/19/2016 10:09:11
"0 MASSPIKE ROAD, BOSTON, MA",aq06,100251365R3,JR VINAGRO,10/28/2016 0:00:00,1/31/2017 0:00:00,12/19/2016 10:09:11
"0 MASSPIKE ROAD, BOSTON, MA",aq06,100251368R3,JR VINAGRO,10/28/2016 0:00:00,1/31/2017 0:00:00,12/19/2016 10:09:11
"284 EVERETT AVENUE, CHELSEA, MA",aq06,100251893R2,NORTHEAST REMEDIATION,10/10/2016 0:00:00,1/30/2017 0:00:00,12/19/2016 10:09:11
"8 HARRISON AVE., BOSTON, MA",aq06,100252495R1,REYNOLDS CONSTRUCTION,10/25/2016 0:00:00,2/1/2017 0:00:00,12/19/2016 10:09:11
"113 OLIVE STREET, ATTLEBORO, MA",aq06,100252750R2,JR VINAGRO,1/3/2017 0:00:00,2/3/2017 0:00:00,12/19/2016 10:09:11
"55 ENTERPRISE STREET, BOSTON, MA",aq06,100252927R3,JR VINAGRO,12/12/2016 0:00:00,1/12/2017 0:00:00,12/19/2016 10:09:11
"55 ENTERPRISE STREET, BOSTON, MA",aq06,100252927R4,JR VINAGRO,12/23/2016 0:00:00,1/23/2017 0:00:00,12/19/2016 10:09:11
"700 BELLEVILLE AVENUE, NEW BEDFORD, MA",aq06,100253140R1,ROBERT COMMERCIAL CONSTRUCTION,11/2/2016 0:00:00,3/31/2017 0:00:00,12/19/2016 10:09:11
"95 WASHINGTON STREET, CANTON, MA",aq06,100253822,CE FLOYD,12/19/2016 0:00:00,3/31/2017 0:00:00,12/19/2016 10:09:11
"66 LONG WHARF, BOSTON, MA",aq06,100254243R2,DECTAM,11/16/2016 0:00:00,2/3/2017 0:00:00,12/19/2016 10:09:11
"66 LONG WHARF, BOSTON, MA",aq06,100254243R3,DECTAM,11/16/2016 0:00:00,2/3/2017 0:00:00,12/19/2016 10:09:11
"62 SUMMER STREET, ADAMS, MA",aq06,100254569R1,AMERICAN ENVIRONMENTAL,11/23/2016 0:00:00,12/16/2016 0:00:00,12/19/2016 10:09:11
"80 BROADWAY, EVERETT, MA",aq06,100254987R3,JR VINAGRO,12/1/2016 0:00:00,12/6/2016 0:00:00,12/19/2016 10:09:11
"692 GREENDALE AVENUE, NEEDHAM, MA",aq06,100255157R1,JR VINAGRO,12/5/2016 0:00:00,12/13/2016 0:00:00,12/19/2016 10:09:11
"50 DUCHAINE BLVD, NEW BEDFORD, MA",aq06,100255169,NASDI,12/11/2016 0:00:00,12/11/2017 0:00:00,12/19/2016 10:09:11
"744 GREENDALE AVENUE, NEEDHAM, MA",aq06,100255190R1,JR VINAGRO,12/5/2016 0:00:00,12/13/2016 0:00:00,12/19/2016 10:09:11
"299 STURBRIDGE ROAD, CHARLTON, MA",aq06,100255349R1,JR VINAGRO,12/19/2016 0:00:00,1/19/2017 0:00:00,12/19/2016 10:09:11
"90 SALEM ROAD, BILLERICA, MA",aq06,100255354,CUTLER ASSOCIATES,12/22/2016 0:00:00,6/30/2017 0:00:00,12/19/2016 10:09:11
"300 BAKER AVENUE, CONCORD, MA",aq06,100255363,J CALNAN ASSOCIATES,12/26/2016 0:00:00,2/1/2017 0:00:00,12/19/2016 10:09:11
"2018 PLEASANT STREET, BRIDGEWATER, MA",aq06,100255609R1,JR VINAGRO,12/19/2016 0:00:00,1/19/2017 0:00:00,12/19/2016 10:09:11
